actor,category,field_key,label,type,required,description,example,options,upload
INSTITUTION,Company,legal_name,Legal Entity Name,string,True,Registered legal name,Echosystem Technologies SAS,,False
INSTITUTION,Company,trade_name,Trade Name / DBA,string,False,Commercial name,Echotechnology,,False
INSTITUTION,Company,legal_form,Legal Form,enum,True,Entity type,SAS,SAS|LLC|C-Corp|S-Corp|GmbH|Ltd|PLC|Sole Proprietorship|Partnership,False
INSTITUTION,Company,registration_number,Registration / Company Number,string,True,Company registry number,901797152-1,,False
INSTITUTION,Company,tax_id,Tax ID / VAT / NIT / EIN,string,True,Primary tax identifier,NIT 901797152-1,,False
INSTITUTION,Company,incorporation_date,Date of Incorporation,date,True,YYYY-MM-DD,2021-04-15,,False
INSTITUTION,Company,website,Website,url,False,Official website (https),https://echotechnology.xyz,,False
INSTITUTION,Company,industry_code,Primary Industry / ISIC Code,string,False,Industrial Classification of All Economic Activities (ISIC),541211,,False
INSTITUTION,Company,employees_count,Number of Employees,integer,False,Headcount,12,,False
INSTITUTION,Company,business_description,Business Description,string,True,"Core business, max 500 chars",Blockchain treasury & OTC services,,False
INSTITUTION,Contact,primary_email,Primary Contact Email,email,True,Main onboarding contact,ops@convexo.xyz,,False
INSTITUTION,Contact,primary_phone,Primary Contact Phone,phone,True,E.164 format,+573152812505,,False
INSTITUTION,Contact,support_email,Support / Finance Email,email,False,For AP/AR notices,finance@convexo.xyz,,False
INSTITUTION,Contact,country,Country,enum,True,ISO 3166-1 alpha-2,CO,US|CO|MX|BR|CL|GB|SG|HK|DE|FR|ES,False
INSTITUTION,Contact,state_province,State / Province,string,False,Optional region/state,Valle del Cauca,,False
INSTITUTION,Contact,city,City,string,True,City of registration,Cali,,False
INSTITUTION,Contact,address_line1,Address Line 1,string,True,Street + number,"Zona América Tower 1, Oficina 401",,False
INSTITUTION,Contact,address_line2,Address Line 2,string,False,Suite/floor/optional,Parque Industrial,,False
INSTITUTION,Contact,postal_code,Postal Code / ZIP,string,False,ZIP or postal code,760032,,False
INSTITUTION,Contact,proof_of_address,Proof of Address,file,True,Utility bill or bank statement ≤3 months,,,True
INSTITUTION,Representative,rep_full_name,Full Name,string,True,Legal representative full name,William Martinez,,False
INSTITUTION,Representative,rep_role,Role / Title,string,True,"Position (CEO, CFO, etc.)",CEO,,False
INSTITUTION,Representative,rep_id_type,ID Type,enum,True,Govt ID type,CC,CC|DNI|Passport|SSN|Other,False
INSTITUTION,Representative,rep_id_number,ID Number,string,True,Govt-issued ID,1234567890,,False
INSTITUTION,Representative,rep_dob,Date of Birth,date,True,YYYY-MM-DD,1990-08-13,,False
INSTITUTION,Representative,rep_nationality,Nationality,enum,True,ISO 3166-1 alpha-2,CO,US|CO|MX|BR|CL|GB|SG|HK|DE|FR|ES,False
INSTITUTION,Representative,rep_email,Email,email,True,Direct email,wmb81321@gmail.com,,False
